date,requests,bytes,cached_bytes
2026-03-22,3546,14279729,558159
2026-03-26,2360,1273090,145090
2026-03-24,1991,15405697,885547
2026-03-23,1972,1073162,151179
2026-02-05,1678,1336510,85357
2026-03-20,1572,36289455,25026458
2026-03-13,1531,44095914,20537405
2026-03-08,1482,17392557,3387078
2026-02-21,1384,6725850,6085867
2026-02-02,1346,1856858,613942
2026-02-26,1307,661739,65583
2026-01-12,1127,18550725,9711966
2026-01-15,1108,19023155,5880467
2026-02-24,1083,44014533,17380908
2026-04-01,1052,596359,124635
2026-01-28,1008,531689,62730
2026-02-23,1007,549370,101043
2026-03-14,999,19773393,13419184
2026-01-11,936,12912421,5771302
2026-01-21,884,6431333,64154
2026-03-27,819,2433109,1060568
2026-01-20,811,58888782,29388941
2026-01-22,736,1024567,180356
2026-01-13,709,39623554,14467807
2026-01-31,645,347280,47123
2026-03-03,638,26427574,691072
2026-01-10,572,12017404,83313
2026-03-02,561,6051907,97137
2026-01-14,532,377675,143115
2026-03-19,497,39708232,24338878
2026-02-04,492,326678,102538
2026-01-19,469,12772029,6613993
2026-04-05,468,76242435,50164141
2026-02-01,461,335157,108185
2026-04-07,440,12179318,41622
2026-02-08,440,44643780,3715477
2026-03-07,439,19504789,19281433
2026-01-25,433,41826353,34721376
2026-03-31,414,266460,62581
2026-03-10,414,684361,485021
2026-01-23,412,33340636,10913742
2026-04-02,410,255644,49709
2026-02-13,408,1029481,416595
2026-03-15,397,280604,98652
2026-01-27,380,73949745,57437554
2026-04-09,368,35931749,8504450
2026-03-09,362,7927370,2026861
2026-03-17,348,12653476,521638
2026-02-19,338,11634906,5791685
2026-03-30,323,264927,114368
2026-03-11,318,8372869,2289591
2026-02-14,314,42765585,19343056
2026-01-16,312,9912211,2097306
2026-03-05,305,188000,51712
2026-04-08,300,183468,44190
2026-03-29,294,2170696,53452
2026-02-09,294,268892,140294
2026-03-25,290,261402,135646
2026-01-30,284,31119874,3347364
2026-01-18,275,344633,250756
2026-03-04,271,6901478,473570
2026-03-06,264,170544,37492
2026-02-16,241,14025129,7523843
2026-03-21,239,191053,88448
2026-02-27,238,197554,94900
2026-01-24,233,144287,41045
2026-03-16,223,2305254,1045443
2026-02-03,219,18678052,3458896
2026-01-26,188,144511,66396
2026-02-25,183,12541699,381695
2026-03-28,180,613336,100421
2026-02-20,177,147423,71107
2026-02-10,161,176411,120024
2026-02-22,159,416289,345107
2026-02-17,153,114698,54564
2026-02-06,150,127710,70863
2026-02-18,142,19274358,7597652
2026-02-15,140,107378,48405
2026-02-28,132,151210,91379
2026-04-06,129,88557,26299
2026-01-17,126,14503526,2059030
2026-03-18,124,88136,34902
2026-02-12,119,94305,48110
2026-03-12,116,177142,115324
2026-03-01,100,19223653,27584
2026-04-03,90,149216,102318
2026-02-07,72,83901,58133
2026-01-29,69,58637,32591
2026-04-04,67,60344,33896
2026-02-11,44,40204,22261
2026-04-10,16,43547,22096
